"user.assessmentUid","runId","user.grade","b-3-4-4","b-3-4-11","b-3-4-17","a-3-4-19","a-3-4-12","b-3-4-10","b-3-4-20","b-5-6-9","a-5-6-15","a-3-4-13","b-3-4-18","b-3-4-8","b-5-6-1","b-3-4-9","b-3-4-1","b-3-4-14","b-3-4-7","b-3-4-13","b-3-4-2","b-3-4-6","b-3-4-19","a-5-6-3","a-5-6-16","b-3-4-5","b-5-6-17","b-3-4-15","b-3-4-16","b-3-4-12","b-3-4-3","b-5-6-12","a-3-4-17","a-5-6-17","a-3-4-14","b-5-6-11","b-5-6-16","a-5-6-5","a-3-4-4","a-5-6-20","a-5-6-4","a-3-4-2","a-3-4-9","b-5-6-4","a-5-6-12","b-5-6-20","b-5-6-8","b-5-6-13","a-5-6-11","b-5-6-10","a-5-6-14","a-3-4-15","a-3-4-6","a-3-4-7","b-5-6-18","a-5-6-8","a-3-4-5","a-3-4-8","b-5-6-6","b-5-6-3","a-3-4-16","a-3-4-11","b-5-6-2","a-5-6-9","a-5-6-6","a-5-6-1","a-5-6-13","b-5-6-5","b-5-6-15","b-5-6-14","a-5-6-18","a-3-4-3","a-5-6-19","a-3-4-1","a-5-6-7","a-5-6-10","a-3-4-10","a-3-4-20","b-5-6-7","a-3-4-18","a-5-6-2","b-5-6-19","b-5-6-19m"
"aVBYDpf7Yvf1QSwR8JBcc1lqnMF2","xQ7MIimxYf92XdtMBqud","3","1","1","1","1",".","1","1",".",".",".","1","1",".","1","1","1","1","1","1","1","1",".",".","1",".","1","0","1","1",".",".",".",".",".",".",".",".",".","1",".",".","1",".",".","0",".",".",".",".",".",".",".",".",".",".",".","1",".","0",".",".",".",".",".",".",".",".",".","1",".",".","0","0",".",".",".",".",".",".",".","."
"wUw7kiEqlmfnDQ8uJxVUyaQICJI3","BuB8decQS2t0U4S1BDsz","5","1","0","1",".","0","0","1",".","1",".","1","0","0","0","1","0","1","1","0","1","0",".","1","0",".","0","0","0","1",".",".","0",".",".",".",".","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0","0",".",".",".",".",".",".",".",".",".",".",".",".","."
"p9H4pgE3AnPrThcCW8UsTjy0LJP2","9RRzdcwyJKjhhtTasNeE","7","1","1","1",".",".","1","1",".",".",".","1","1","1","1","1","1","1","1","1","1","1",".",".","1",".","1","1","1","1","1",".","1",".",".",".",".",".",".","1",".",".",".",".",".",".",".",".",".",".","0",".",".",".",".","1",".",".",".",".",".",".",".",".",".",".","1",".",".",".",".",".",".",".","1","1",".",".",".",".",".","."
"GusqL0eGGKdiYO8wjJBbIQtnMtD3","B5a4DrihCsr4FIOiPnH7","1","0","1","0",".",".","0","0",".",".",".","1","0",".","1","0","0","0","0","0","0","1",".","0","0",".","0","1","0","0",".","0",".","0",".","0",".","0",".",".",".",".",".",".","0",".",".",".",".",".",".",".",".",".","0",".",".",".",".",".",".","0","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Z1taD8cR3jTwQu2FVR5gruBTvrH2","29ysHRkHcaWAJeHMNcPl","2","0","1","1",".",".","1","1",".","1",".","1","0",".","1","1","1","1","1","1","1","1",".",".","1",".","1","1","1","1",".",".",".",".",".",".","1",".",".",".",".","1","1",".",".","1",".",".",".",".",".",".",".",".",".",".",".","0",".","1",".",".",".",".",".",".",".",".",".","1",".",".",".",".",".",".","1",".",".",".",".","."
"ITsE8gXqRTah6aLXAzD84XwALih2","0a5jYjddh3Ctvjdfsba0","4","0","1","1",".",".","0","1",".",".",".","1","1",".","1","1","0","1","1","1","1","1",".",".","1",".","1","0","1","1","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0",".","1","1","1","1",".",".",".",".",".",".",".",".","1",".",".","1",".",".",".",".",".",".",".",".",".",".",".",".",".","1",".",".",".",".","."
"EWGeDt8TRfQHinjJczyk47WCDho2","fTFcsXFDosMj5cug2LPS","2","1","1","1",".",".","1","1",".",".","1","0","1",".","1","0","1","0","1","1","0","1",".",".","1",".","1","0","1","0",".",".",".",".",".",".","0",".",".",".",".",".",".",".",".","0",".","1",".",".",".",".",".",".",".",".",".",".",".","0",".",".",".",".","0",".",".",".","0",".",".",".",".",".",".",".","1","1",".",".",".","."
"6TpGAy0ha4aO2P0QByntWUdtk4v2","nj6y4VJZDfNuiAnZNrOz","5","1","1","1","0",".","0","1",".","1",".","1","1",".","0","1","0","1","1","1","1","1",".",".","1","1","1","0","1","1","1",".",".",".",".",".","1","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1",".",".",".",".",".",".",".",".",".",".",".",".","1",".",".",".",".","1",".",".",".",".",".",".",".",".","."
"i3EEJg0ps1SDSL4sz3hx7iEhkeG3","1Go7xgiKdfacVj3l6QSb","3","1","1","1",".",".","1","1",".",".","0","0","1",".","1","1","1","1","1","1","1","1",".","1","1",".","0","0","1","1",".",".",".",".",".","1","0",".",".",".",".",".",".",".",".","0",".",".",".",".",".",".",".",".",".","0",".",".","1",".",".",".",".",".",".",".",".",".",".",".","0","1",".",".",".",".",".",".",".",".",".","."
"J6P4G3lvOieNlqQb05l2EbAsbw53","QWRztxpYwePGCVmcXyyX","2","0","0","0","0",".","1","1","1",".",".","0","1",".","0","1","1","0","0","0","0","1",".",".","0",".","1","0","0","1",".",".",".",".",".",".","1",".","1",".",".","0",".",".","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0",".",".",".",".",".",".",".",".",".","1",".","0",".",".",".","."
